skinId,partType,rarity
archivement_a_barley_tree,Outfit,Rare
archivement_circle_lens,Accessory,Rare
archivement_nirvana_halo,Effect,Rare
archivement_nirvana_left_hand,Accessory,Rare
archivement_nirvana_right_hand,Accessory,Rare
archivement_red_dot,Accessory,Rare
archivement_third-eye,Accessory,Rare
season_halloween_blood,Accessory,Uncommon
season_halloween_dracula-cloak,Outfit,Unique
season_halloween_dracula-teeth,Accessory,Unique
season_halloween_mirra,Outfit,Legendary
season_halloween_skull-face,Accessory,Uncommon
season_halloween_the_devil_tail,Bottom,Rare
standard_a-cats-ear,Top,Uncommon
standard_a-cats-tail,Bottom,Rare
standard_a-cup-of-coffee,Accessory,Rare
standard_a-drop-of-sweat,Accessory,Common
standard_a-noble-womans-hair,Top,Legendary
standard_a-rainy-day,Effect,Common
standard_a-roaring-eye,Face,Unique
standard_afro-hair,Top,Common
standard_angel-ring,Accessory,Rare
standard_appearance_from_behind,Outfit,Rare
standard_a_rabbit_tail,Bottom,Rare
standard_a_wine_glass,Accessory,Rare
standard_back-scratcher,Accessory,Unique
standard_band-aid,Accessory,Rare
standard_beer,Accessory,Rare
standard_bow-tie,Accessory,Rare
standard_chest-hair,Top,Common
standard_cigarette,Accessory,Rare
standard_cloud,Outfit,Rare
standard_crack,Outfit,Rare
standard_dark-circles,Accessory,Uncommon
standard_dark_spot_patch,Accessory,Rare
standard_depression,Accessory,Common
standard_dot-face,Face,Rare
standard_eyelashes,Accessory,Common
standard_fan,Accessory,Legendary
standard_flies,Effect,Unique
standard_form,Top,Rare
standard_fried_egg,Top,Rare
standard_frog,Top,Rare
standard_hand-feet,Outfit,Unique
standard_hand_feet,Outfit,Rare
standard_headband,Top,Uncommon
standard_light-bulb,Accessory,Rare
standard_maid_head,Top,Rare
standard_maid_uniform,Outfit,Rare
standard_mini-stone,Top,Rare
standard_money,Effect,Unique
standard_mushroom,Outfit,Rare
standard_necktie_headband,Outfit,Rare
standard_newspaper,Accessory,Rare
standard_normal,Face,Common
standard_octopus-legs,Effect,Legendary
standard_pink-afro-hair,Top,Common
standard_pistol,Accessory,Legendary
standard_plunger,Top,Rare
standard_poop,Top,Common
standard_rabbit_ears,Top,Rare
standard_rudolphs-nose,Accessory,Uncommon
standard_santa-hat,Top,Uncommon
standard_sexy-dot,Accessory,Common
standard_sexy-lips,Accessory,Rare
standard_shame,Accessory,Uncommon
standard_sheep_head,Top,Rare
standard_shine,Accessory,Rare
standard_sleep,Face,Uncommon
standard_snail,Outfit,Legendary
standard_snake,Outfit,Rare
standard_star_sticker,Accessory,Rare
standard_tear,Accessory,Unique
standard_the_devil_horns,Top,Rare
standard_the_queens_mask,Accessory,Rare
standard_tired,Face,Common
standard_tongue,Accessory,Rare
standard_unicorn-horn,Top,Unique
standard_venus-hair,Top,Legendary
standard_venus-scallop-shell,Bottom,Rare
standard_water-wave,Effect,Rare
standard_yellow-bikini,Top,Rare
